City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,nueva esperanza,15.2667,-87.6,30.79,63,66,0.76,HN,1691597508
156,taulaga,-11.0553,-171.0883,27.71,80,27,6.66,AS,1691597508
157,kidal,18.4411,1.4078,39.8,20,28,4.41,ML,1691597508
158,mejit,10.2753,170.8646,27.8,71,84,5.11,MH,1691597508
159,harper,4.375,-7.7169,25.23,80,94,6.16,LR,1691597509
160,arish,31.1316,33.7984,28.09,61,0,4.69,EG,1691597509
161,pirot,43.1531,22.5861,25.32,44,78,0.56,RS,1691597509
162,presidente medici,-11.1753,-61.9014,39.57,23,2,0.39,BR,1691597509
163,luena,-11.7833,19.9167,27.42,18,2,3.02,AO,1691597509
164,tshikapa,-6.4167,20.8,35.59,17,23,1.75,CD,1691597509
165,wotho,10.1657,166.0102,27.91,78,53,3.6,MH,1691597509
166,kot radha kishan,31.1725,74.0997,32.06,45,100,3.04,PK,1691597509
167,wailua homesteads,22.0669,-159.378,26.44,81,75,8.23,US,1691597510
168,leava,-14.3,-178.1667,27.01,79,28,3.68,WF,1691597510
169,fort bragg,35.139,-79.006,30.51,47,0,2.57,US,1691597510
170,virginia,37.5481,-77.4467,30.75,51,20,2.06,US,1691596820
171,bhimunipatnam,17.8833,83.4333,29.24,73,100,0.9,IN,1691597510
172,lospalos,-8.5186,127.0025,19.77,96,56,1.93,TL,1691597510
173,tierra blanca,14.5833,-88.5833,27.35,67,76,1.09,HN,1691597510
174,fale old settlement,-9.3852,-171.2468,28.13,78,22,6.35,TK,1691597510
175,bardai,11.65,7.2333,26.56,68,94,3.66,NG,1691597510
176,cole harbour,44.6724,-63.4751,19.98,97,100,7.2,CA,1691597511
177,peace river,56.2501,-117.286,17.17,100,100,2.06,CA,1691597433
178,chonchi,-42.6128,-73.8092,10.62,92,100,5.69,CL,1691597511
179,kavieng,-2.5744,150.7967,27.3,75,92,8.44,PG,1691597511
180,sechura,-5.5569,-80.8222,25.62,62,86,3.1,PE,1691597511
181,port moresby,-9.4431,147.1797,21.61,82,20,5.74,PG,1691597511
182,alofi,-19.0595,-169.9187,25.02,84,22,2.32,NU,1691597511
183,acapulco de juarez,16.8634,-99.8901,29.9,62,75,2.57,MX,1691597376
184,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1691597511
185,borujen,31.9652,51.2873,24.24,31,50,2.59,IR,1691597511
186,pangoa,-12.1167,-73.0,31.17,42,91,1.43,PE,1691597512
187,kaoma,-14.7833,24.8,24.56,18,4,2.98,ZM,1691597512
188,arris,35.2588,6.3471,33.08,14,1,9.32,DZ,1691597512
189,arkhangel'sk,64.5401,40.5433,22.88,59,1,1.71,RU,1691597428
190,ilhabela,-23.7781,-45.3581,20.3,89,98,5.15,BR,1691597347
191,slave lake,55.2834,-114.769,14.99,100,100,4.63,CA,1691597512
192,labrador city,52.9463,-66.9114,11.95,94,100,3.09,CA,1691597410
193,grand falls-windsor,48.9332,-55.6649,18.61,69,99,0.89,CA,1691597512
194,lihue,21.9789,-159.3672,26.77,75,75,8.23,US,1691597512
195,tura,25.5198,90.2201,24.02,97,100,1.02,IN,1691597513
196,luwingu,-10.2621,29.9271,20.59,29,10,1.33,ZM,1691597513
197,flin flon,54.7682,-101.865,14.91,55,20,2.57,CA,1691597513
198,lanivtsi,49.8633,26.0908,22.08,52,45,1.24,UA,1691597513
199,petropavlovsk-kamchatsky,53.0452,158.6483,12.1,76,100,6.25,RU,1691597513
200,horta,38.5333,-28.6333,25.01,85,20,6.17,PT,1691597513
201,parabel',58.6978,81.4825,14.52,87,92,2.64,RU,1691597513
202,seymour,38.9592,-85.8903,26.53,85,22,0.45,US,1691597345
203,revda,56.801,59.9303,19.85,67,42,1.88,RU,1691597513
204,cidreira,-30.1811,-50.2056,15.95,95,100,9.79,BR,1691597514
205,bilibino,68.0546,166.4372,7.59,60,100,1.71,RU,1691597514
206,victoria falls,-17.9235,25.843,21.75,26,0,4.05,ZW,1691597514
207,porto uniao,-26.2381,-51.0783,13.78,99,100,1.19,BR,1691597514
208,ubari,26.5921,12.7805,35.42,13,0,6.38,LY,1691597514
209,ovria,38.1833,21.7167,30.62,51,43,2.09,GR,1691597514
210,kodinsk,58.6881,99.1844,18.0,72,79,1.24,RU,1691597514
211,kavarna,43.4333,28.3333,24.68,55,0,5.68,BG,1691597519
212,enewetak,11.3474,162.3373,28.24,77,97,5.57,MH,1691597519
213,touros,-5.1989,-35.4608,28.68,64,58,8.57,BR,1691597520
214,tsiombe,-25.3,45.4833,20.47,82,51,4.48,MG,1691597520
215,punta arenas,-53.15,-70.9167,4.22,86,100,4.87,CL,1691597520
216,crane,31.3974,-102.3501,33.88,27,7,4.59,US,1691597520
217,phan rang-thap cham,11.5667,108.9833,27.91,71,1,2.22,VN,1691597520
218,isangel,-19.55,169.2667,19.68,75,82,6.06,VU,1691597520
219,zelhem,52.0067,6.3486,22.81,60,92,4.02,NL,1691597520
220,bikenibeu village,1.3673,173.1241,25.98,89,40,1.03,KI,1691597521
221,colonia,50.9333,6.95,24.47,50,0,5.66,DE,1691597521
222,monterey,36.2505,-121.2516,18.07,51,0,0.94,US,1691597521
223,lepsy,46.235,78.9456,27.48,35,7,2.65,KZ,1691597521
224,abepura,-2.6333,140.5833,24.45,78,20,1.03,ID,1691597522
225,cockburn town,21.4612,-71.1419,29.04,81,46,7.24,TC,1691597526
226,newman,37.3138,-121.0208,21.8,48,0,0.58,US,1691597527
227,ivins,37.1686,-113.6794,30.62,17,44,0.96,US,1691597531
228,east end,34.5507,-92.341,29.0,85,93,4.0,US,1691597533
229,khash,28.2211,61.2158,31.54,15,38,6.9,IR,1691597533
230,longboat key,27.4125,-82.659,35.7,64,0,4.63,US,1691597501
231,maridi,4.9158,29.4742,24.38,75,91,0.72,SS,1691597533
232,siguiri,11.6667,-9.5,29.35,64,99,1.31,GN,1691597535
233,severo-yeniseyskiy,60.3725,93.0408,10.42,86,7,2.38,RU,1691597537
234,tabou,4.423,-7.3528,25.1,81,92,5.92,CI,1691597539
235,nepean,45.3449,-75.7631,26.74,68,20,5.14,CA,1691597181
236,tselinnoye,53.0833,85.6667,18.72,53,62,1.57,RU,1691597540
237,smolenskaya,44.7887,38.8018,30.98,71,39,3.7,RU,1691597540
238,aquiraz,-3.9014,-38.3911,31.05,63,54,6.96,BR,1691597540
239,anshun,26.25,105.9333,19.68,96,9,0.74,CN,1691597540
240,zheleznodorozhnyy,55.7503,38.0042,24.1,78,51,2.79,RU,1691597540
241,brak,27.5496,14.2714,35.6,12,0,5.59,LY,1691597540
242,soligalich,59.0778,42.2864,21.61,70,0,2.31,RU,1691597540
243,caleta de carquin,-11.0925,-77.6267,21.13,69,79,3.48,PE,1691597541
244,luderitz,-26.6481,15.1594,22.72,45,65,1.35,NA,1691597541
245,pisco,-13.7,-76.2167,20.03,77,100,2.06,PE,1691597541
